,Evaluaciones en las tardes o sábados o exámenes,,,,,,,,,,,,,,,,,,,,,
,Evaluaciones en horario de Clase/Ayudantía,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TIPO HORARIO,DESCRIPCION,,,,,,,,,,,,,,,,,,,,,
CLAS,CLASES,,,,,,,,,,,,,,,,,,,,,
AYUD,AYUDANTIA,,,,,,,,,,,,,,,,,,,,,
LABT,LABORATORIO,,,,,,,,,,,,,,,,,,,,,
EXAM,EXAMEN,,,,,,,,,,,,,,,,,,,,,
PRBA ,"PRUEBA (1, 2, 3...)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PERIODO,PLAN DE ESTUDIOS,ESCUELA,NRC,CONECTOR  LIGA,LISTA CRUZADA,MATERIA,CURSO,SECC.,TITULO,CREDITO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,DOMINGO,INICIO,FIN,SALA,TIPO,PROFESOR
202320,PLAN COMUN,IN,4639,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,,,19:30 - 21:20,,,,23/10/2023,23/10/2023,,PRBA 4,HERNANDEZ/URIBE ALVARO ANDRES
202320,PLAN COMUN,IN,4639,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,,,19:30 - 21:20,,,,09/11/2023,09/11/2023,,PRBA 5,HERNANDEZ/URIBE ALVARO ANDRES
202320,PLAN COMUN,IN,625,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,10:30 - 12:20,,,,,,,31/07/2023,15/11/2023,,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
202320,PLAN COMUN,IN,625,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,13:30 - 17:20,,,,,,31/07/2023,15/11/2023,,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
202320,PLAN COMUN,IN,625,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,,,13:30 - 15:20,,,,31/07/2023,15/11/2023,,CLAS,PETERS/RODRIGUEZ EDUARDO FABIAN
202320,PLAN COMUN,IN,625,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,15:30 - 17:20,,,,,,,07/08/2023,15/11/2023,,AYUD,PETERS/RODRIGUEZ EDUARDO FABIAN
202320,PLAN COMUN,IN,625,,,ING,1100,1,ALGEBRA E INTR. AL CALCULO,10,,,,,13:30 - 15:20,,,07/08/2023,15/11/2023,,AYUD,PETERS/RODRIGUEZ EDUARDO FABIAN
202320,PLAN COMUN,IN,4639,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,10:30 - 12:20,,,,,,,31/07/2023,15/11/2023,,CLAS,HERNANDEZ/URIBE ALVARO ANDRES
202320,PLAN COMUN,IN,4639,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,13:30 - 17:20,,,,,,31/07/2023,15/11/2023,,CLAS,HERNANDEZ/URIBE ALVARO ANDRES
202320,PLAN COMUN,IN,4639,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,,,13:30 - 15:20,,,,31/07/2023,15/11/2023,,CLAS,HERNANDEZ/URIBE ALVARO ANDRES
202320,PLAN COMUN,IN,4639,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,15:30 - 17:20,,,,,,,07/08/2023,15/11/2023,,AYUD,HERNANDEZ/URIBE ALVARO ANDRES
202320,PE 2020,IN,461,,,ICE,3101,1,ANALISIS DE CIRCUITOS,6,,,,,,,,31/07/2023,15/11/2023,,CLAS,GARCIA/DE GRACIA FLORENCIO ENRIQUE
202320,PE 2020,IN,461,,,ICE,3101,1,ANALISIS DE CIRCUITOS,6,,,,,,,,07/08/2023,15/11/2023,,AYUD,GARCIA/DE GRACIA FLORENCIO ENRIQUE
202320,PE 2020,IN,461,,,ICE,3101,1,ANALISIS DE CIRCUITOS,6,,,,,,,,07/08/2023,15/11/2023,,LABT,GARCIA/DE GRACIA FLORENCIO ENRIQUE
202320,PLAN COMUN,IN,4639,,,ING,1100,2,ALGEBRA E INTR. AL CALCULO,10,,,,,13:30 - 15:20,,,07/08/2023,15/11/2023,,AYUD,HERNANDEZ/URIBE ALVARO ANDRES
202320,PLAN COMUN,IN,608,,,ING,1201,1,ALGEBRA LINEAL,6,19:30 - 21:20,,,,,,,28/08/2023,28/08/2023,,PRBA 1,CARRASCO/BRIONES MIGUEL ANGEL 
202320,PLAN COMUN,IN,608,,,ING,1201,1,ALGEBRA LINEAL,6,15:30 - 18:20,,,,,,,27/11/2023,27/11/2023,,EXAM,CARRASCO/BRIONES MIGUEL ANGEL 
202320,PLAN COMUN,IN,608,,,ING,1201,1,ALGEBRA LINEAL,6,19:30 - 21:20,,,,,,,25/09/2023,25/09/2023,,PRBA 2,CARRASCO/BRIONES MIGUEL ANGEL 
202320,PLAN COMUN,IN,608,,,ING,1201,1,ALGEBRA LINEAL,6,,,,19:30 - 21:20,,,,19/10/2023,19/10/2023,,PRBA 3,CARRASCO/BRIONES MIGUEL ANGEL 
202320,PLAN COMUN,IN,608,,,ING,1201,1,ALGEBRA LINEAL,6,,,,,,10:30 - 12:20,,11/11/2023,11/11/2023,,PRBA 4,CARRASCO/BRIONES MIGUEL ANGEL 
202320,PLAN COMUN,IN,609,,,ING,1201,2,ALGEBRA LINEAL,6,19:30 - 21:20,,,,,,,28/08/2023,28/08/2023,,PRBA 1,ZEGARRA/AGRAMONT LUIS GUILLERMO
202320,PLAN COMUN,IN,609,,,ING,1201,2,ALGEBRA LINEAL,6,15:30 - 18:20,,,,,,,27/11/2023,27/11/2023,,EXAM,ZEGARRA/AGRAMONT LUIS GUILLERMO
202320,PLAN COMUN,IN,609,,,ING,1201,2,ALGEBRA LINEAL,6,19:30 - 21:20,,,,,,,25/09/2023,25/09/2023,,PRBA 2,ZEGARRA/AGRAMONT LUIS GUILLERMO
202320,PLAN COMUN,IN,609,,,ING,1201,2,ALGEBRA LINEAL,6,,,,19:30 - 21:20,,,,19/10/2023,19/10/2023,,PRBA 3,ZEGARRA/AGRAMONT LUIS GUILLERMO
202320,PLAN COMUN,IN,609,,,ING,1201,2,ALGEBRA LINEAL,6,,,,,,10:30 - 12:20,,11/11/2023,11/11/2023,,PRBA 4,ZEGARRA/AGRAMONT LUIS GUILLERMO
202320,PLAN COMUN,IN,610,,,ING,1201,3,ALGEBRA LINEAL,6,19:30 - 21:20,,,,,,,28/08/2023,28/08/2023,,PRBA 1,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202320,PLAN COMUN,IN,610,,,ING,1201,3,ALGEBRA LINEAL,6,15:30 - 18:20,,,,,,,27/11/2023,27/11/2023,,EXAM,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202320,PLAN COMUN,IN,610,,,ING,1201,3,ALGEBRA LINEAL,6,19:30 - 21:20,,,,,,,25/09/2023,25/09/2023,,PRBA 2,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202320,PLAN COMUN,IN,610,,,ING,1201,3,ALGEBRA LINEAL,6,,,,19:30 - 21:20,,,,19/10/2023,19/10/2023,,PRBA 3,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202320,PLAN COMUN,IN,610,,,ING,1201,3,ALGEBRA LINEAL,6,,,,,,10:30 - 12:20,,11/11/2023,11/11/2023,,PRBA 4,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
202320,PLAN COMUN,IN,611,,,ING,1201,4,ALGEBRA LINEAL,6,19:30 - 21:20,,,,,,,28/08/2023,28/08/2023,,PRBA 1,ETEROVIC/RESTAINO MAGDALENA 
202320,PLAN COMUN,IN,611,,,ING,1201,4,ALGEBRA LINEAL,6,15:30 - 18:20,,,,,,,27/11/2023,27/11/2023,,EXAM,ETEROVIC/RESTAINO MAGDALENA 
202320,PLAN COMUN,IN,611,,,ING,1201,4,ALGEBRA LINEAL,6,19:30 - 21:20,,,,,,,25/09/2023,25/09/2023,,PRBA 2,ETEROVIC/RESTAINO MAGDALENA 
202320,PLAN COMUN,IN,611,,,ING,1201,4,ALGEBRA LINEAL,6,,,,19:30 - 21:20,,,,19/10/2023,19/10/2023,,PRBA 3,ETEROVIC/RESTAINO MAGDALENA 
202320,PLAN COMUN,IN,611,,,ING,1201,4,ALGEBRA LINEAL,6,,,,,,10:30 - 12:20,,11/11/2023,11/11/2023,,PRBA 4,ETEROVIC/RESTAINO MAGDALENA 
202320,PLAN COMUN,IN,608,,,ING,1201,1,ALGEBRA LINEAL,6,,08:30 - 10:20,,,,,,31/07/2023,15/11/2023,,CLAS,CARRASCO/BRIONES MIGUEL ANGEL 
202320,PLAN COMUN,IN,608,,,ING,1201,1,ALGEBRA LINEAL,6,,,,08:30 - 10:20,,,,31/07/2023,15/11/2023,,CLAS,CARRASCO/BRIONES MIGUEL ANGEL 
202320,PLAN COMUN,IN,608,,,ING,1201,1,ALGEBRA LINEAL,6,,,15:30 - 17:20,,,,,07/08/2023,15/11/2023,,AYUD,CARRASCO/BRIONES MIGUEL ANGEL 
202320,PLAN COMUN,IN,609,,,ING,1201,2,ALGEBRA LINEAL,6,,08:30 - 10:20,,,,,,31/07/2023,15/11/2023,,CLAS,ZEGARRA/AGRAMONT LUIS GUILLERMO
202320,PLAN COMUN,IN,609,,,ING,1201,2,ALGEBRA LINEAL,6,,,,08:30 - 10:20,,,,31/07/2023,15/11/2023,,CLAS,ZEGARRA/AGRAMONT LUIS GUILLERMO
202320,PLAN COMUN,IN,609,,,ING,1201,2,ALGEBRA LINEAL,6,,,15:30 - 17:20,,,,,07/08/2023,15/11/2023,,AYUD,ZEGARRA/AGRAMONT LUIS GUILLERMO
202320,PLAN COMUN,IN,610,,,ING,1201,3,ALGEBRA LINEAL,6,,,,17:30 - 19:20,,,,31/07/2023,15/11/2023,,CLAS,BASTARRICA/MELGAREJO JOSEFINA ESTEFANIA
